LandProvince;SeaZone;x;y;
me_land_2263;me_sea_0150;7299;2038;x
me_land_2270;me_sea_0116;9978;7713;x
me_land_2275;me_sea_0105;7387;254;x
me_land_2279;me_sea_0011;5934;7857;x
me_land_2348;me_sea_0055;3547;4754;x
me_land_2367;me_sea_0181;13910;6685;x
me_land_2374;me_sea_0186;4230;2832;x
me_land_2436_endore;me_sea_0073;13270;7005;x
me_land_2451;me_sea_0118;14320;2226;x
me_land_2464;me_sea_0257;14824;5454;x
me_land_2473;me_sea_0118;14444;2534;x
me_land_2488;me_sea_0008;3839;3250;x
me_land_2503;me_sea_0266;10310;7669;x
me_land_2521;me_sea_0099;6194;1465;x
me_land_2587;me_sea_0094;7898;1505;x
me_land_2622;me_sea_0272;5086;1669;x
me_land_2643;me_sea_0202;3987;3150;x
me_land_2667;me_sea_0277;14094;6553;x
me_land_2672;me_sea_0093;9259;1458;x
me_land_2696;me_sea_0275;6406;7857;x
me_land_2743;me_sea_0037;4574;5065;x
me_land_2883;me_sea_0116;10222;7681;x
me_land_2888;me_sea_0003;6774;1549;x
me_land_2891;me_sea_0150;7103;2102;x
me_land_2900;me_sea_0070;3999;2662;x
me_land_2904;me_sea_0284;3682;5440;x
me_land_2916;me_sea_0055;3574;4509;x
me_land_2925;me_sea_0160;6510;2208;x
me_land_2945;me_sea_0069;3483;7078;x
me_land_2946;me_sea_0071;13956;1422;x
me_land_2950;me_sea_0115;6414;520;x
me_land_2970;me_sea_0148;12238;7341;x
me_land_3000;me_sea_0304;12422;7297;x
me_land_3068;me_sea_0187;7750;7881;x
me_land_3080;me_sea_0200;13652;966;x
me_land_3082;me_sea_0317;5019;2578;x
me_land_3090;me_sea_0099;6486;1485;x
me_land_3108;me_sea_0187;7106;7873;x
me_land_3156;me_sea_0088;9550;104;x
me_land_3170;me_sea_0303;9234;88;x
me_land_3187;me_sea_0093;8523;1690;x
me_land_3231;me_sea_0110;14896;3962;x
me_land_3247;me_sea_0187;7594;7897;x
me_land_3260;me_sea_0200;13796;1130;x
me_land_3314;me_sea_0093;8830;1341;x
me_land_3338;me_sea_0015;3902;6485;x
me_land_3343;me_sea_0294;14792;4638;x
me_land_3364;me_sea_0150;7282;1861;x
me_land_3380;me_sea_0187;7438;7909;x
me_land_3405;me_sea_0017;2899;7542;x
me_land_3423;me_sea_0093;8506;1377;x
me_land_3427;me_sea_0147;14454;6225;x
me_land_3451;me_sea_0090;3323;6290;x
me_land_3464;me_sea_0284;3467;5582;x
me_land_3484;me_sea_0021;8742;7841;x
me_land_3518;me_sea_0275;6162;7853;x
me_land_3586;me_sea_0150;7238;2060;x
me_land_3591;me_sea_0285;4106;7785;x
me_land_3648;me_sea_0202;4055;3102;x
me_land_3654;me_sea_0088;10502;88;x
me_land_3669;me_sea_0169;4578;7833;x
me_land_3675;me_sea_0046;3862;5412;x
me_land_3690;me_sea_0116;10126;7689;x
me_land_3703;me_sea_0105;7474;236;x
me_land_3724;me_sea_0074;6662;7853;x
me_land_3727;me_sea_0162;7626;1916;x
me_land_3730;me_sea_0181;13970;6641;x
me_land_3768;me_sea_0093;8602;1357;x
me_land_3789;me_sea_0150;7210;1873;x
me_land_3841;me_sea_0093;8799;1594;x
me_land_3861;me_sea_0317;5139;2554;x
me_land_3904;me_sea_0105;7322;268;x
me_land_3914;me_sea_0174;11038;7573;x
me_land_3967;me_sea_0121;13270;628;x
me_land_3970;me_sea_0150;7186;2072;x
me_land_3981;me_sea_0069;3302;7088;x
me_land_3994;me_sea_0275;6486;7857;x
me_land_4004;me_sea_0181;13934;6669;x
me_land_4006;me_sea_0100;14616;2974;x
me_land_4007;me_sea_0140;5283;1266;x
me_land_4011;me_sea_0093;8294;1421;x
me_land_4068;me_sea_0037;5055;5138;x
me_land_4088;me_sea_0135;3455;4146;x
me_land_4096;me_sea_0317;4770;2668;x
me_land_4202;me_sea_0077;14232;2018;x
me_land_4208;me_sea_0017;2998;7633;x
me_land_4218;me_sea_0209;5582;1537;x
me_land_4231;me_sea_0294;14804;4598;x
me_land_4233;me_sea_0187;7138;7877;x
me_land_4252;me_sea_0069;3618;7072;x
me_land_4261;me_sea_0093;9015;1542;x
me_land_4304;me_sea_0093;8906;1572;x
me_land_4330;me_sea_0084;5063;6810;x
me_land_4364;me_sea_0147;14606;6041;x
me_land_4367;me_sea_0069;3642;6725;x
me_land_4373;me_sea_0088;10298;96;x
me_land_4479;me_sea_0074;6918;7861;x
me_land_4485;me_sea_0251;3322;5728;x
me_land_4508;me_sea_0186;4431;2758;x
me_land_4517;me_sea_0099;6562;1497;x
me_land_4529;me_sea_0037;4442;5352;x
me_land_4547;me_sea_0142;5919;2358;x
me_land_4548;me_sea_0243;2955;7338;x
me_land_4550;me_sea_0037;4807;5258;x
me_land_4552;me_sea_0093;8478;1704;x
me_land_4563;me_sea_0135;3535;4042;x
me_land_4577;me_sea_0284;3610;5444;x
me_land_4586;me_sea_0034;4883;1874;x
me_land_4587;me_sea_0003;6894;1557;x
me_land_4591;me_sea_0018;14856;5210;x
me_land_4679;me_sea_0142;5654;2416;x
me_land_4680;me_sea_0303;8830;84;x
me_land_4682;me_sea_0090;3235;6142;x
me_land_4687;me_sea_0212;5695;898;x
me_land_4720;me_sea_0272;5266;1601;x
me_land_4725;me_sea_0093;8846;1584;x
me_land_4793;me_sea_0110;14912;4066;x
me_land_4806;me_sea_0021;8418;7861;x
me_land_4807;me_sea_0222;3378;5261;x
me_land_4865;me_sea_0186;4343;2790;x
me_land_4913;me_sea_0071;14052;1614;x
me_land_4932;me_sea_0105;7211;290;x
me_land_4949;me_sea_0148;12146;7361;x
me_land_4982;me_sea_0174;11334;7537;x
me_land_5013;me_sea_0074;6790;7857;x
me_land_5027;me_sea_0015;3918;6485;x
me_land_5028;me_sea_0181;13782;6769;x
me_land_5051;me_sea_0294;14792;4654;x
me_land_5054;me_sea_0118;14400;2418;x
me_land_5099;me_sea_0312;12858;392;x
me_land_5108;me_sea_0046;3726;5121;x
me_land_5132;me_sea_0003;6882;1765;x
me_land_5149;me_sea_0093;8974;1556;x
me_land_5153;me_sea_0093;9098;1357;x
me_land_5157;me_sea_0075;12466;252;x
me_land_5165;me_sea_0142;6134;2304;x
me_land_5175;me_sea_0150;7031;2118;x
me_land_5179;me_sea_0088;9770;112;x
me_land_5187;me_sea_0084;5086;6761;x
me_land_5202;me_sea_0155;3290;6584;x
me_land_5232;me_sea_0320;10910;7593;x
me_land_5252;me_sea_0158;9722;7757;x
me_land_5285;me_sea_0084;4470;6996;x
me_land_5288;me_sea_0093;8494;1700;x
me_land_5296;me_sea_0141;6190;612;x
me_land_5301;me_sea_0071;13980;1474;x
me_land_5367;me_sea_0034;4894;1925;x
me_land_5383;me_sea_0259;12022;168;x
me_land_5407;me_sea_0093;8522;1692;x
me_land_5412;me_sea_0003;6750;1549;x
me_land_5419;me_sea_0300;5770;1521;x
me_land_5428;me_sea_0008;3762;3284;x
me_land_5443;me_sea_0003;7186;1648;x
me_land_5479;me_sea_0073;12906;7137;x
me_land_5483;me_sea_0209;5682;1533;x
me_land_5485;me_sea_0073;13490;6905;x
me_land_5501;me_sea_0154;14254;6429;x
me_land_5592;me_sea_0256;4979;1614;x
me_land_5596;me_sea_0003;7306;1684;x
me_land_5597;me_sea_0003;6970;1845;x
me_land_5621;me_sea_0003;7270;1668;x
me_land_5643;me_sea_0116;9934;7717;x
me_land_5649;me_sea_0061;14172;1886;x
me_land_5655;me_sea_0105;7751;194;x
me_land_5679;me_sea_0212;5559;998;x
me_land_5688;me_sea_0021;9062;7797;x
me_land_5709;me_sea_0186;4578;2716;x
me_land_5713;me_sea_0257;14774;5669;x
me_land_5718;me_sea_0069;3238;7084;x
me_land_5738;me_sea_0003;7222;1625;x
me_land_5748;me_sea_0155;3218;6713;x
me_land_5751;me_sea_0312;12790;356;x
me_land_5754;me_sea_0200;13856;1234;x
me_land_5757;me_sea_0047;3578;7765;x
me_land_5770;me_sea_0039;11846;7433;x
me_land_5800;me_sea_0003;6938;1825;x
me_land_5804;me_sea_0046;3962;5408;x
me_land_5819;me_sea_0307;14692;3214;x
me_land_5841;me_sea_0294;14788;4706;x
me_land_5854;me_sea_0100;14632;3026;x
me_land_5868;me_sea_0142;6282;2264;x
me_land_5870;me_sea_0003;7006;1853;x
me_land_5896;me_sea_0003;7130;1597;x
me_land_5923;me_sea_0315;9290;7781;x
me_land_5935;me_sea_0061;14128;1782;x
me_land_5953;me_sea_0046;4198;5392;x
me_land_5958;me_sea_0317;4730;2680;x
me_land_5967;me_sea_0093;8631;1662;x
me_land_5987;me_sea_0021;9002;7805;x
me_land_6021;me_sea_0116;10054;7697;x
me_land_6032;me_sea_0211;3703;3834;x
me_land_6053;me_sea_0160;6442;2224;x
me_land_6068;me_sea_0245;8094;7861;x
me_land_6077;me_sea_0155;3362;6556;x
me_land_6083;me_sea_0055;3599;4618;x
me_land_6100;me_sea_0075;12462;252;x
me_land_6133;me_sea_0200;13788;1118;x
me_land_6162;me_sea_0275;6242;7853;x
me_land_6169;me_sea_0169;4622;7833;x
me_land_6176;me_sea_0046;4018;5085;x
me_land_6185;me_sea_0088;10230;100;x
me_land_6186;me_sea_0074;6938;7861;x
me_land_6188;me_sea_0017;2939;7378;x
me_land_6209;me_sea_0162;7574;1773;x
me_land_6260;me_sea_0155;3310;6437;x
me_land_6294;me_sea_0155;3406;6425;x
me_land_6316;me_sea_0100;14564;2834;x
me_land_6345;me_sea_0259;11154;96;x
me_land_6361;me_sea_0216;14720;3294;x
me_land_6394;me_sea_0003;6934;1668;x
me_land_6399;me_sea_0148;12082;7377;x
me_land_6403;me_sea_0094;8070;1796;x
me_land_6414;me_sea_0047;3558;7765;x
me_land_6427;me_sea_0140;5038;1540;x
me_land_6447;me_sea_0142;5999;2350;x
me_land_6484;me_sea_0100;14588;2898;x
me_land_6492;me_sea_0084;4778;6669;x
me_land_6496;me_sea_0303;8698;96;x
me_land_6533;me_sea_0200;13552;870;x
me_land_6569;me_sea_0055;3531;4766;x
me_land_6575;me_sea_0105;7039;330;x
me_land_6606;me_sea_0259;11510;112;x
me_land_6621;me_sea_0021;8870;7821;x
me_land_6627;me_sea_0160;6371;2246;x
me_land_6647;me_sea_0094;8122;1461;x
me_land_6669;me_sea_0110;14920;4206;x
me_land_6682;me_sea_0259;11282;100;x
me_land_6687;me_sea_0303;8894;80;x
me_land_6709;me_sea_0243;2959;7306;x
me_land_6763;me_sea_0037;4470;5069;x
me_land_6786;me_sea_0158;9650;7765;x
me_land_6853;me_sea_0294;14828;4538;x
me_land_6860;me_sea_0140;5199;1378;x
me_land_6876;me_sea_0008;4078;2868;x
me_land_6890;me_sea_0088;10198;100;x
me_land_6906;me_sea_0272;5438;1569;x
me_land_6913;me_sea_0155;3778;6473;x
me_land_6927;me_sea_0162;7638;1685;x
me_land_6949;me_sea_0162;7982;1804;x
me_land_6969;me_sea_0315;9362;7777;x
me_land_6978;me_sea_0084;4842;6689;x
me_land_6996;me_sea_0055;3579;4698;x
me_land_6998;me_sea_0200;13912;1342;x
me_land_7041;me_sea_0034;4887;1794;x
me_land_7049;me_sea_0147;14414;6265;x
me_land_7052;me_sea_0094;8022;1481;x
me_land_7069;me_sea_0003;7258;1637;x
me_land_7095;me_sea_0037;4943;5198;x
me_land_7108;me_sea_0278;5646;7877;x
me_land_7111;me_sea_0203;5455;1094;x
me_land_7133;me_sea_0088;10370;92;x
me_land_7144;me_sea_0245;7878;7873;x
me_land_7145;me_sea_0088;9298;92;x
me_land_7154;me_sea_0141;5967;718;x
me_land_7169;me_sea_0169;4266;7809;x
me_land_7187;me_sea_0272;5022;1693;x
me_land_7189;me_sea_0046;4118;5045;x
me_land_7192;me_sea_0300;5914;1493;x
me_land_7201;me_sea_0105;7606;216;x
me_land_7204;me_sea_0272;5406;1577;x
me_land_7220;me_sea_0243;2963;7230;x
me_land_7221;me_sea_0303;8330;128;x
me_land_7224;me_sea_0294;14812;4794;x
me_land_7236;me_sea_0064;5346;2524;x
me_land_7238;me_sea_0257;14844;5322;x
me_land_7242;me_sea_0162;7354;1821;x
me_land_7247;me_sea_0121;13338;672;x
me_land_7277;me_sea_0088;10578;80;x
me_land_7291;me_sea_0021;8794;7837;x
me_land_7304;me_sea_0222;3331;5146;x
me_land_7309;me_sea_0162;7535;1950;x
me_land_7320;me_sea_0094;8355;1722;x
me_land_7330;me_sea_0062;11718;7469;x
me_land_7379;me_sea_0259;11862;140;x
me_land_7380;me_sea_0303;8590;104;x
me_land_7396;me_sea_0154;14274;6409;x
me_land_7411;me_sea_0015;4194;6509;x
me_land_7412;me_sea_0046;3918;5416;x
me_land_7418;me_sea_0021;8650;7857;x
me_land_7429;me_sea_0084;4767;6934;x
me_land_7430;me_sea_0181;13634;6841;x
me_land_7461;me_sea_0037;4871;5230;x
me_land_7496;me_sea_0093;9014;1357;x
me_land_7497;me_sea_0216;14840;3758;x
me_land_7508;me_sea_0099;6382;1481;x
me_land_7541;me_sea_0142;6242;2272;x
me_land_7554;me_sea_0077;14280;2138;x
me_land_7583;me_sea_0257;14744;5742;x
me_land_7590;me_sea_0275;6154;7853;x
me_land_7602;me_sea_0222;3386;5273;x
me_land_7609;me_sea_0266;10414;7661;x
me_land_7614;me_sea_0272;5194;1633;x
me_land_7655;me_sea_0141;5899;758;x
me_land_7658;me_sea_0062;11614;7493;x
me_land_7680;me_sea_0317;4955;2594;x
me_land_7720;me_sea_0094;8139;1782;x
me_land_7732;me_sea_0300;5806;1513;x
me_land_7759;me_sea_0284;3506;5201;x
me_land_7770;me_sea_0202;4067;3050;x
me_land_7808;me_sea_0277;14034;6597;x
me_land_7820;me_sea_0099;6666;1525;x
me_land_7851;me_sea_0216;14764;3454;x
me_land_7867;me_sea_0037;4646;5308;x
me_land_7877;me_sea_0155;3682;6441;x
me_land_7891;me_sea_0181;13702;6809;x
me_land_7894;me_sea_0093;8666;1349;x
me_land_7898;me_sea_0303;8442;116;x
me_land_7912;me_sea_0037;5082;5101;x
me_land_7929;me_sea_0071;14020;1550;x
me_land_7936;me_sea_0162;7722;1597;x
me_land_7942;me_sea_0093;8746;1349;x
me_land_7977;me_sea_0037;4498;5073;x
me_land_8020;me_sea_0257;14704;5834;x
me_land_8033;me_sea_0018;14856;5238;x
me_land_8038;me_sea_0154;14314;6369;x
me_land_8049;me_sea_0284;3502;5201;x
me_land_8057;me_sea_0142;6034;2340;x
me_land_8062;me_sea_0015;4274;6545;x
me_land_8065;me_sea_0187;7718;7885;x
me_land_8071;me_sea_0174;11210;7549;x
me_land_8077;me_sea_0115;6415;518;x
me_land_8118;me_sea_0008;4126;2856;x
me_land_8137;me_sea_0284;3427;5638;x
me_land_8140;me_sea_0064;5483;2478;x
me_land_8147;me_sea_0140;5131;1462;x
me_land_8192;me_sea_0135;3599;3970;x
me_land_8202;me_sea_0105;7819;182;x
me_land_8211;me_sea_0186;4279;2814;x
me_land_8235;me_sea_0118;14460;2566;x
me_land_8331;me_sea_0046;4054;5065;x
me_land_8333;me_sea_0169;4458;7833;x
me_land_8354;me_sea_0037;5087;5106;x
me_land_8379;me_sea_0251;3263;5794;x
me_land_8393;me_sea_0039;11818;7441;x
me_land_8394;me_sea_0009;3483;4406;x
me_land_8413;me_sea_0259;11990;164;x
me_land_8434;me_sea_0294;14888;4338;x
me_land_8467;me_sea_0245;7982;7869;x
me_land_8474;me_sea_0094;8291;1742;x
me_land_8507;me_sea_0011;6042;7853;x
me_land_8533;me_sea_0187;7298;7893;x
me_land_8534;me_sea_0272;5174;1641;x
me_land_8536;me_sea_0088;9962;108;x
me_land_8545;me_sea_0073;13438;6929;x
me_land_8554;me_sea_0162;7830;1828;x
me_land_8578;me_sea_0320;10738;7625;x
me_land_8584;me_sea_0064;5435;2498;x
me_land_8586;me_sea_0003;6926;1561;x
me_land_8595;me_sea_0110;14904;4014;x
me_land_8602;me_sea_0251;3379;5686;x
me_land_8611;me_sea_0141;5846;792;x
me_land_8620;me_sea_0278;5746;7869;x
me_land_8626;me_sea_0118;14444;2530;x
me_land_8633;me_sea_0174;11374;7533;x
me_land_8673;me_sea_0211;3711;3674;x
me_land_8681;me_sea_0211;3631;3582;x
me_land_8695;me_sea_0047;3342;7705;x
me_land_8715;me_sea_0037;4226;5041;x
me_land_8743;me_sea_0097;3643;3378;x
me_land_8781;me_sea_0266;10510;7653;x
me_land_8796;me_sea_0171;14508;2694;x
me_land_8837;me_sea_0162;7654;1861;x
me_land_8853;me_sea_0303;9046;80;x
me_land_8872;me_sea_0115;6711;426;x
me_land_8906;me_sea_0097;3603;3510;x
me_land_8940;me_sea_0303;8770;92;x
me_land_9000;me_sea_0304;12758;7185;x
me_land_9002;me_sea_0142;5786;2380;x
me_land_9012;me_sea_0211;3674;3637;x
me_land_9017;me_sea_0259;11414;108;x
me_land_9020;me_sea_0069;3602;7072;x
me_land_9023;me_sea_0105;6954;352;x
me_land_9028;me_sea_0037;4315;5370;x
me_land_9036;me_sea_0162;7434;1705;x
me_land_9044;me_sea_0216;14792;3574;x
me_land_9070;me_sea_0046;3846;5089;x
me_land_9092;me_sea_0077;14252;2074;x
me_land_9101;me_sea_0105;8075;150;x
me_land_9116;me_sea_0140;5351;1198;x
me_land_9129;me_sea_0284;3558;5177;x
me_land_9137;me_sea_0259;10994;88;x
me_land_9147;me_sea_0303;9102;80;x
me_land_9156;me_sea_0008;3895;3210;x
me_land_9159;me_sea_0317;5242;2540;x
me_land_9169;me_sea_0088;9302;92;x
me_land_9170;me_sea_0277;14174;6493;x
me_land_9208;me_sea_0009;3470;4381;x
me_land_9232;me_sea_0093;8731;1626;x
me_land_9243;me_sea_0093;8298;1421;x
me_land_9246;me_sea_0055;3431;4862;x
me_land_9251;me_sea_0256;4915;1706;x
me_land_9264;me_sea_0140;5071;1506;x
me_land_9293;me_sea_0055;3471;4826;x
me_land_9295;me_sea_0259;11766;124;x
me_land_9303;me_sea_0084;4831;6910;x
me_land_9322;me_sea_0185;4071;7042;x
me_land_9326;me_sea_0046;3938;5089;x
me_land_9360;me_sea_0015;4390;6577;x
me_land_9377;me_sea_0259;11250;100;x
me_land_9418;me_sea_0037;5042;5144;x
me_land_9425;me_sea_0015;4122;6477;x
me_land_9501;me_sea_0088;10034;108;x
me_land_9506;me_sea_0022;12162;196;x
me_land_9510;me_sea_0185;3974;7048;x
me_land_9516;me_sea_0088;9614;108;x
me_land_9534;me_sea_0073;13122;7065;x
me_land_9541;me_sea_0185;4190;7036;x
me_land_9552;me_sea_0150;6867;2142;x
me_land_9596;me_sea_0003;7327;1662;x
me_land_9600;me_sea_0062;11486;7521;x
me_land_9611;me_sea_0141;6067;666;x
me_land_9625;me_sea_0088;10406;92;x
me_land_9633;me_sea_0294;14816;4810;x
me_land_9670;me_sea_0003;7126;1640;x
me_land_9675;me_sea_0216;14804;3634;x
me_land_9686;me_sea_0093;9158;1365;x
me_land_9708;me_sea_0304;12578;7245;x
me_land_9715;me_sea_0073;12946;7121;x
me_land_9721;me_sea_0187;7486;7913;x
me_land_9735;me_sea_0266;10522;7653;x
me_land_9748;me_sea_0162;7372;1734;x
me_land_9765;me_sea_0069;3194;7080;x
me_land_9768;me_sea_0084;4910;6876;x
me_land_9769;me_sea_0285;3878;7769;x
me_land_9772;me_sea_0093;8566;1365;x
me_land_9782;me_sea_0084;5034;6836;x
me_land_9798;me_sea_0259;11606;116;x
me_land_9818;me_sea_0088;9454;100;x
me_land_9823;me_sea_0174;11058;7573;x
me_land_9831;me_sea_0074;6738;7853;x
me_land_9832;me_sea_0099;6322;1473;x
me_land_9891;me_sea_0183;5090;7861;x
me_land_9893;me_sea_0021;8938;7813;x
me_land_9904;me_sea_0037;4674;5049;x
me_land_9916;me_sea_0046;3676;5130;x
me_land_9919;me_sea_0146;5382;7901;x
me_land_9956;me_sea_0022;12226;208;x
me_land_10001;me_sea_0312;12734;328;x
me_land_10049;me_sea_0187;7422;7909;x
me_land_10050;me_sea_0039;11994;7397;x
me_land_10083;me_sea_0069;3759;7054;x
me_land_10087;me_sea_0300;5866;1497;x
me_land_10106;me_sea_0216;14784;3526;x
me_land_10109;me_sea_0142;5599;2434;x
me_land_10110;me_sea_0222;3339;5006;x
me_land_10116;me_sea_0093;9070;1528;x
me_land_10138;me_sea_0162;7710;1824;x
me_land_10164;me_sea_0185;4274;7028;x
me_land_10165;me_sea_0315;9202;7789;x
me_land_10183;me_sea_0147;14652;5946;x
me_land_10227;me_sea_0211;3715;3758;x
me_land_10253;me_sea_0105;8198;136;x
me_land_10261;me_sea_0021;8506;7865;x
me_land_10280;me_sea_0105;7934;168;x
me_land_10289;me_sea_0037;5010;5073;x
me_land_10297;me_sea_0303;8358;124;x
me_land_10312;me_sea_0169;4394;7829;x
me_land_10314;me_sea_0069;3710;7064;x
me_land_10318;me_sea_0150;6662;2184;x
me_land_10338;me_sea_0093;8382;1393;x
me_land_10354;me_sea_0069;3542;6793;x
me_land_10363;me_sea_0146;5282;7889;x
me_land_10378;me_sea_0243;3030;7080;x
me_land_10380;me_sea_0046;4054;5388;x
me_land_10381;me_sea_0093;8430;1385;x
me_land_10382;me_sea_0148;12310;7325;x
me_land_10390;me_sea_0155;3247;6618;x
me_land_10395;me_sea_0094;8251;1754;x
me_land_10405;me_sea_0084;4974;6709;x
me_land_10409;me_sea_0118;14360;2318;x
me_land_10456;me_sea_0315;9522;7773;x
me_land_10467;me_sea_0047;3186;7661;x
me_land_10507;me_sea_0021;8342;7861;x
me_land_10520;me_sea_0008;4008;2762;x
me_land_10521;me_sea_0257;14808;5546;x
me_land_10526;me_sea_0278;5550;7889;x
me_land_10538;me_sea_0099;6606;1505;x
me_land_10540;me_sea_0147;14646;5961;x
me_land_10577;me_sea_0105;7130;308;x
me_land_10582;me_sea_0075;12370;236;x
me_land_10588;me_sea_0150;6622;2188;x
me_land_10599;me_sea_0115;6563;470;x
me_land_10629;me_sea_0181;13842;6733;x
me_land_10633;me_sea_0055;3603;4602;x
me_land_10635;me_sea_0183;4742;7837;x
me_land_10655;me_sea_0037;4922;5053;x
me_land_10678;me_sea_0146;5374;7901;x
me_land_10681;me_sea_0209;5602;1537;x
me_land_10697;me_sea_0093;9147;1502;x
me_land_10724;me_sea_0115;6330;552;x
me_land_10763;me_sea_0037;4282;5041;x
me_land_10764;me_sea_0312;12654;292;x
me_land_10771;me_sea_0047;3266;7681;x
me_land_10778;me_sea_0105;7666;204;x
me_land_10786;me_sea_0135;3459;4142;x
me_land_10787;me_sea_0088;9890;112;x
me_land_10824;me_sea_0185;4154;7036;x
me_land_10825;me_sea_0256;4971;1626;x
me_land_10828;me_sea_0147;14562;6105;x
me_land_10833;me_sea_0073;13366;6961;x
me_land_10888;me_sea_0272;5294;1593;x
me_land_10892;me_sea_0084;4606;6968;x
me_land_10898;me_sea_0155;3644;6634;x
me_land_10931;me_sea_0061;14104;1730;x
me_land_10940;me_sea_0104;3270;6765;x
me_land_10945;me_sea_0317;5054;2568;x
me_land_10959;me_sea_0140;5271;1282;x
me_land_10966;me_sea_0162;7794;1545;x
me_land_10973;me_sea_0084;4514;6992;x
me_land_10996;me_sea_0061;14080;1674;x
me_land_11009;me_sea_0284;3618;5444;x
me_land_11018;me_sea_0245;7846;7873;x
me_land_11025;me_sea_0158;9810;7737;x
me_land_11035;me_sea_0147;14502;6173;x
me_land_11105;me_sea_0088;9706;112;x
me_land_11128;me_sea_0307;14684;3186;x
