location,region,realm,culture,faith,rank,source
me_land_0021,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0022,me_near_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_0023,me_enedwaith_region,WILD,me_dunlending,me_dunland_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0024,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_0025,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0026,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0027,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_0028,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_0029,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0030,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_0031,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_0032,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_0033,me_ithilien_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0034,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0035,me_lindon_region,LIN,me_sindar,me_valar_worship,place,"LOTR, Appendix B"
me_land_0036,me_ithilien_region,WILD,me_gondorian,me_valar_worship,wilderness,"LOTR map"
me_land_0037,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0038,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0039,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0040,me_grey_mountains_region,ERE,me_longbeard,me_mahal_cult,place,"The Hobbit, Ch. 1"
me_land_0041,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_0042,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0043,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0044,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0045,me_forochel_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"LOTR map and Appendix A"
me_land_0046,me_enedwaith_region,WILD,me_dunlending,me_dunland_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0047,me_ithilien_region,GON,me_gondorian,me_valar_worship,fortress,"LOTR, Appendix A"
me_land_0048,me_near_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_0049,me_far_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_0050,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0051,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0052,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_0053,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0054,me_ithilien_region,WILD,me_gondorian,me_valar_worship,wilderness,"LOTR map"
me_land_0055,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_0056,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0057,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0058,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0059,me_near_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_0060,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0061,me_umbar_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_0062,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0063,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0064,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0065,me_dale_region,DAL,me_dalish,me_northern_ways,place,"The Hobbit, Ch. 14"
me_land_0066,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_0067,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0068,me_anorien_region,DRU,me_druedain,me_druedain_ways,place,"LOTR, Book V, Ch. 5"
me_land_0069,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0070,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_0071,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_0072,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_0073,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0074,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0075,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_0076,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_0077,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_0078,me_khand_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_0079,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0080,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0081,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0082,me_khand_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_0083,me_lindon_region,LIN,me_sindar,me_valar_worship,place,"LOTR, Appendix B"
me_land_0084,me_enedwaith_region,WILD,me_dunlending,me_dunland_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0085,me_lindon_region,LIN,me_sindar,me_valar_worship,place,"LOTR, Appendix B"
me_land_0086,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_0087,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0088,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_0089,me_rhun_region,DOR,me_dorwinrim,me_northern_ways,place,"The Hobbit, Ch. 9"
me_land_0090,me_lindon_region,LIN,me_sindar,me_valar_worship,place,"LOTR, Appendix B"
me_land_0091,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0092,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_0093,me_forochel_region,LOS,me_lossoth,me_lossoth_ways,place,"LOTR, Appendix A"
me_land_0094,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0095,me_near_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_0096,me_khand_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_0097,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0098,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_0099,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0100,me_rohan_region,FAN,me_onodrim,me_eldest_ways,place,"LOTR, Book III, Ch. 4"
me_land_0101,me_rhun_region,RH3,me_sagath,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0102,me_mirkwood_region,WDM,me_woodman,me_northern_ways,place,"Unfinished Tales"
me_land_0103,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_0104,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_0105,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0106,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_0107,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_0108,me_ithilien_region,WILD,me_gondorian,me_valar_worship,wilderness,"LOTR map"
me_land_0109,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0110,me_mirkwood_region,WDM,me_woodman,me_northern_ways,place,"Unfinished Tales"
me_land_0111,me_belfalas_region,DAM,me_dol_amrothian,me_valar_worship,place,"LOTR, Book V, Ch. 1"
me_land_0112,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0113,me_lindon_region,LIN,me_sindar,me_valar_worship,place,"LOTR, Appendix B"
me_land_0114,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_0115,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0116,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_0117,me_belfalas_region,DAM,me_dol_amrothian,me_valar_worship,place,"LOTR, Book V, Ch. 1"
me_land_0118,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,town,"LOTR, Appendix A"
me_land_0119,me_near_harad_region,UMB,me_umbarite,me_sauron_cult,place,"LOTR, Appendix A"
me_land_0120,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_0121,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_0122,me_enedwaith_region,WILD,me_dunlending,me_dunland_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0123,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0124,me_belfalas_region,DAM,me_dol_amrothian,me_valar_worship,place,"LOTR, Book V, Ch. 1"
me_land_0125,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0126,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0127,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_0128,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_0129,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0130,me_angmar_region,WILD,me_northern_orc,me_melkorism,wilderness,"LOTR, Appendix A"
me_land_0131,me_khand_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_0132,me_forochel_region,LOS,me_lossoth,me_lossoth_ways,place,"LOTR, Appendix A"
me_land_0133,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0134,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0135,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_0136,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0137,me_enedwaith_region,WILD,me_dunlending,me_dunland_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0138,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0139,me_forochel_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"LOTR map and Appendix A"
me_land_0140,me_south_gondor_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0141,me_khand_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_0142,me_shire_breeland_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I"
me_land_0143,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_0144,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0145,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0146,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_0147,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0148,me_anorien_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0149,me_anorien_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0150,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_0151,me_rhun_region,RH3,me_sagath,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0152,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0153,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0154,me_lindon_region,LIN,me_sindar,me_valar_worship,place,"LOTR, Appendix B"
me_land_0155,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0156,me_angmar_region,WILD,me_northern_orc,me_melkorism,wilderness,"LOTR, Appendix A"
me_land_0157,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_0158,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_0159,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_0160,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_0161,me_lindon_region,LIN,me_sindar,me_valar_worship,place,"LOTR, Appendix B"
me_land_0162,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_0163,me_angmar_region,WILD,me_northern_orc,me_melkorism,wilderness,"LOTR, Appendix A"
me_land_0164,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0165,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0166,me_enedwaith_region,WILD,me_dunlending,me_dunland_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0167,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_0168,me_rohan_region,ROH,me_rohirric,me_northern_ways,place,"LOTR, Appendix A"
me_land_0169,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_0170,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_0171,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_0172,me_grey_mountains_region,ERE,me_longbeard,me_mahal_cult,place,"The Hobbit, Ch. 1"
me_land_0173,me_near_harad_region,HNE,me_near_haradrim,me_southron_ways,place,"† ENDORE plan 7-8"
me_land_0174,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_0175,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0176,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0177,me_anduin_vale_region,WILD,me_woodman,me_northern_ways,wilderness,"The Hobbit; Unfinished Tales"
me_land_0178,me_mirkwood_region,WOO,me_silvan,me_valar_worship,place,"The Hobbit, Ch. 9"
me_land_0179,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0180,me_ithilien_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0181,me_anduin_vale_region,WDM,me_woodman,me_northern_ways,place,"Unfinished Tales"
me_land_0182,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_0183,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0184,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0185,me_shire_breeland_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I"
me_land_0186,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_0187,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0188,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0189,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0190,me_mirkwood_region,DOL,me_mordor_orc,me_sauron_cult,place,"LOTR, Appendix B"
me_land_0191,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0192,me_mordor_region,MOR,me_mordor_orc,me_sauron_cult,place,"LOTR, Books IV-VI"
me_land_0193,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_0194,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_0195,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0196,me_north_arnor_region,ANG,me_northern_orc,me_melkorism,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_0197,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
me_land_0198,me_enedwaith_region,DUN,me_dunlending,me_dunland_ways,place,"LOTR, Appendix A"
me_land_0199,me_anduin_vale_region,WDM,me_woodman,me_northern_ways,place,"Unfinished Tales"
me_land_0200,me_far_harad_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_0201,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0202,me_grey_mountains_region,ERE,me_longbeard,me_mahal_cult,place,"The Hobbit, Ch. 1"
me_land_0203,me_anduin_vale_region,MOA,me_misty_orc,me_melkorism,place,"LOTR, Book II"
me_land_0204,me_north_arnor_region,WILD,me_eriadoran,me_northern_ways,wilderness,"LOTR, Book I; † ENDORE plan 6.1"
me_land_0205,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0206,me_angmar_region,ANG,me_northern_orc,me_melkorism,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_0207,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_0208,me_rhun_region,DOR,me_dorwinrim,me_northern_ways,place,"The Hobbit, Ch. 9"
me_land_0209,me_brown_lands_region,WILD,me_woodman,me_northern_ways,wilderness,"LOTR map; † ENDORE plan 6.1"
me_land_0210,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0211,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_0212,me_lebennin_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0213,me_rhun_region,RH2,me_karmachi,me_melkorism,place,"† ENDORE plan 7-8"
me_land_0214,me_belfalas_region,GON,me_gondorian,me_valar_worship,place,"LOTR, Appendix A"
me_land_0215,me_rhun_region,RHU,me_balchoth,me_sauron_cult,place,"LOTR, Appendix A; † ENDORE plan 8"
me_land_0216,me_khand_region,KHA,me_variag,me_melkorism,place,"LOTR, Book V; † ENDORE plan 7"
me_land_0217,me_northern_wastes_region,WILD,me_lossoth,me_lossoth_ways,wilderness,"† ENDORE plan 6-7"
