index,key,display_name,kind,control_x,control_y,normalized_x,normalized_y,control_area,biome_id,continent,region,rgb,anchor
87,me_land_0046,Land 0046,land,2599,709,0.6346764,0.3463605,259,3,me_rhovanion,me_dale_region,9b2dd8,no
88,me_land_0047,Land 0047,land,1188,1102,0.2901099,0.5383488,400,1,me_eriador,me_enedwaith_region,396551,no
89,me_land_0048,Land 0048,land,2245,1387,0.5482295,0.6775769,365,1,me_rhovanion,me_rohan_region,d79cca,no
90,me_land_0049,Land 0049,land,2461,582,0.6009768,0.2843185,319,3,me_rhovanion,me_dale_region,75d443,no
91,me_land_0050,Land 0050,land,1956,1067,0.4776557,0.5212506,572,1,me_rhovanion,me_anduin_vale_region,140bbc,no
92,me_land_0051,Land 0051,land,1658,1115,0.4048840,0.5446996,273,1,me_eriador,me_enedwaith_region,b24335,no
93,me_land_0052,Land 0052,land,2721,1491,0.6644689,0.7283830,310,8,me_gondor,me_ithilien_region,507aae,no
94,me_land_0053,Land 0053,land,2874,1363,0.7018315,0.6658525,336,8,me_mordor_and_rhun,me_mordor_region,eeb227,no
95,me_land_0054,Land 0054,land,1768,1713,0.4317460,0.8368344,330,10,me_harad,me_umbar_region,8ce9a0,no
96,me_land_0055,Land 0055,land,2259,888,0.5516484,0.4338056,221,3,me_rhovanion,me_mirkwood_region,2b2119,no
97,me_land_0056,Land 0056,land,2084,1393,0.5089133,0.6805081,287,1,me_rhovanion,me_rohan_region,c95892,no
98,me_land_0057,Land 0057,land,2227,1616,0.5438339,0.7894480,310,1,me_gondor,me_lebennin_region,67900b,no
99,me_land_0058,Land 0058,land,2657,469,0.6488400,0.2291158,456,1,me_forodwaith,me_northern_wastes_region,05c784,no
100,me_land_0059,Land 0059,land,1137,886,0.2776557,0.4328285,333,1,me_eriador,me_lindon_region,a3fefd,no
101,me_land_0060,Land 0060,land,2461,1339,0.6009768,0.6541280,294,1,me_rhovanion,me_rohan_region,423676,no
102,me_land_0061,Land 0061,land,1680,688,0.4102564,0.3361016,284,1,me_eriador,me_north_arnor_region,e06def,no
103,me_land_0062,Land 0062,land,3612,1245,0.8820513,0.6082071,372,1,me_mordor_and_rhun,me_mordor_region,7ea568,no
104,me_land_0063,Land 0063,land,2309,1078,0.5638584,0.5266243,286,9,me_rhovanion,me_mirkwood_region,1cdce1,no
105,me_land_0064,Land 0064,land,1991,966,0.4862027,0.4719101,307,1,me_eriador,me_shire_breeland_region,bb145a,no
106,me_land_0065,Land 0065,land,2692,791,0.6573871,0.3864191,273,1,me_rhovanion,me_dale_region,594bd3,no
107,me_land_0066,Land 0066,land,1189,1313,0.2903541,0.6414265,457,1,me_eriador,me_enedwaith_region,f7834c,no
108,me_land_0067,Land 0067,land,1527,1129,0.3728938,0.5515388,222,1,me_eriador,me_enedwaith_region,95bac5,no
109,me_land_0068,Land 0068,land,1477,1791,0.3606838,0.8749389,254,10,me_harad,me_umbar_region,33f23e,no
110,me_land_0069,Land 0069,land,3085,737,0.7533578,0.3600391,466,9,me_mordor_and_rhun,me_rhun_region,d229b7,no
111,me_land_0070,Land 0070,land,2404,1462,0.5870574,0.7142159,349,2,me_rhovanion,me_rohan_region,706130,no
112,me_land_0071,Land 0071,land,2422,1278,0.5914530,0.6243283,304,1,me_rhovanion,me_rohan_region,0e98a9,no
113,me_land_0072,Land 0072,land,3490,1397,0.8522589,0.6824621,612,1,me_mordor_and_rhun,me_mordor_region,acd022,no
114,me_land_0073,Land 0073,land,2665,1987,0.6507937,0.9706888,602,10,me_harad,me_far_harad_region,4b079b,no
115,me_land_0074,Land 0074,land,2114,1027,0.5162393,0.5017098,241,3,me_rhovanion,me_anduin_vale_region,e93f14,no
116,me_land_0075,Land 0075,land,813,583,0.1985348,0.2848070,969,1,me_eriador,me_lindon_region,87768d,no
117,me_land_0076,Land 0076,land,2243,1606,0.5477411,0.7845628,221,1,me_gondor,me_lebennin_region,25ae06,no
118,me_land_0077,Land 0077,land,1093,125,0.2669109,0.0610650,632,5,me_forodwaith,me_forochel_region,c3e57f,no
119,me_land_0078,Land 0078,land,1614,799,0.3941392,0.3903273,325,1,me_eriador,me_shire_breeland_region,621cf8,no
120,me_land_0079,Land 0079,land,2271,1408,0.5545788,0.6878359,240,1,me_rhovanion,me_rohan_region,005471,no
121,me_land_0080,Land 0080,land,2753,1957,0.6722833,0.9560332,473,10,me_harad,me_far_harad_region,9e8bea,no
122,me_land_0081,Land 0081,land,984,802,0.2402930,0.3917929,387,1,me_eriador,me_lindon_region,3cc363,no
123,me_land_0082,Land 0082,land,1435,604,0.3504274,0.2950660,301,1,me_eriador,me_north_arnor_region,dafadc,no
124,me_land_0083,Land 0083,land,2860,1630,0.6984127,0.7962872,293,8,me_mordor_and_rhun,me_mordor_region,793255,no
125,me_land_0084,Land 0084,land,2106,1090,0.5142857,0.5324866,337,3,me_rhovanion,me_anduin_vale_region,1769ce,no
126,me_land_0085,Land 0085,land,1782,963,0.4351648,0.4704446,264,1,me_eriador,me_shire_breeland_region,b5a147,no
127,me_land_0086,Land 0086,land,2156,886,0.5264957,0.4328285,284,1,me_rhovanion,me_anduin_vale_region,53d8c0,no
128,me_land_0087,Land 0087,land,3013,1364,0.7357753,0.6663410,398,8,me_mordor_and_rhun,me_mordor_region,f21039,no
129,me_land_0088,Land 0088,land,1887,516,0.4608059,0.2520762,228,1,me_eriador,me_north_arnor_region,9047b2,no
130,me_land_0089,Land 0089,land,1705,915,0.4163614,0.4469956,269,1,me_eriador,me_shire_breeland_region,2e7f2b,no
131,me_land_0090,Land 0090,land,2118,922,0.5172161,0.4504152,320,1,me_rhovanion,me_anduin_vale_region,ccb6a4,no
132,me_land_0091,Land 0091,land,1162,1151,0.2837607,0.5622863,282,1,me_eriador,me_lindon_region,6aee1d,no
133,me_land_0092,Land 0092,land,2321,126,0.5667888,0.0615535,434,5,me_forodwaith,me_northern_wastes_region,092596,no
134,me_land_0093,Land 0093,land,2388,1225,0.5831502,0.5984367,353,9,me_rhovanion,me_rohan_region,a75d0f,no
135,me_land_0094,Land 0094,land,1831,814,0.4471306,0.3976551,297,2,me_eriador,me_shire_breeland_region,459488,no
136,me_land_0095,Land 0095,land,1654,1216,0.4039072,0.5940401,322,1,me_eriador,me_enedwaith_region,e3cc01,no
137,me_land_0096,Land 0096,land,2028,1305,0.4952381,0.6375183,241,3,me_rhovanion,me_rohan_region,82037a,no
138,me_land_0097,Land 0097,land,1752,162,0.4278388,0.0791402,940,5,me_forodwaith,me_angmar_region,203af3,no
139,me_land_0098,Land 0098,land,1679,1201,0.4100122,0.5867123,299,1,me_eriador,me_enedwaith_region,be726c,no
140,me_land_0099,Land 0099,land,2726,736,0.6656899,0.3595506,190,1,me_mordor_and_rhun,me_rhun_region,5ca9e5,no
141,me_land_0100,Land 0100,land,3681,976,0.8989011,0.4767953,285,9,me_mordor_and_rhun,me_rhun_region,fae15e,no
142,me_land_0101,Land 0101,land,1789,1920,0.4368742,0.9379580,358,10,me_harad,me_umbar_region,9918d7,no
143,me_land_0102,Land 0102,land,3598,1245,0.8786325,0.6082071,296,1,me_mordor_and_rhun,me_mordor_region,375050,no
144,me_land_0103,Land 0103,land,863,523,0.2107448,0.2554958,241,1,me_eriador,me_lindon_region,d587c9,no
145,me_land_0104,Land 0104,land,2717,837,0.6634921,0.4088911,538,1,me_rhovanion,me_dale_region,73bf42,no
146,me_land_0105,Land 0105,land,2602,1607,0.6354090,0.7850513,333,1,me_gondor,me_south_gondor_region,11f6bb,no
147,me_land_0106,Land 0106,land,1680,1063,0.4102564,0.5192965,301,1,me_eriador,me_enedwaith_region,b02e34,no
148,me_land_0107,Land 0107,land,3410,1113,0.8327228,0.5437225,267,9,me_mordor_and_rhun,me_rhun_region,4e65ad,no
149,me_land_0108,Land 0108,land,1395,1008,0.3406593,0.4924279,346,1,me_eriador,me_enedwaith_region,ec9d26,no
150,me_land_0109,Land 0109,land,3611,1217,0.8818071,0.5945286,351,1,me_mordor_and_rhun,me_mordor_region,8ad49f,no
151,me_land_0110,Land 0110,land,3539,737,0.8642247,0.3600391,327,9,me_mordor_and_rhun,me_rhun_region,290c18,no
152,me_land_0111,Land 0111,land,938,1057,0.2290598,0.5163654,214,1,me_eriador,me_lindon_region,c74391,no
153,me_land_0112,Land 0112,land,2563,771,0.6258852,0.3766488,264,3,me_rhovanion,me_dale_region,657b0a,no
154,me_land_0113,Land 0113,land,2645,772,0.6459096,0.3771373,302,3,me_rhovanion,me_dale_region,03b283,no
155,me_land_0114,Land 0114,land,1722,864,0.4205128,0.4220811,369,1,me_eriador,me_shire_breeland_region,a1e9fc,no
156,me_land_0115,Land 0115,land,1231,1092,0.3006105,0.5334636,236,2,me_eriador,me_enedwaith_region,402175,no
157,me_land_0116,Land 0116,land,2127,1440,0.5194139,0.7034685,358,1,me_rhovanion,me_rohan_region,de58ee,no
158,me_land_0117,Land 0117,land,2298,1650,0.5611722,0.8060576,247,1,me_gondor,me_lebennin_region,7c9067,no
159,me_land_0118,Land 0118,land,1680,1351,0.4102564,0.6599902,310,1,me_gondor,me_belfalas_region,1ac7e0,no
160,me_land_0119,Land 0119,land,2032,819,0.4962149,0.4000977,429,1,me_eriador,me_enedwaith_region,b8ff59,no
161,me_land_0120,Land 0120,land,3038,885,0.7418803,0.4323400,333,9,me_mordor_and_rhun,me_rhun_region,5736d2,no
162,me_land_0121,Land 0121,land,2416,1336,0.5899878,0.6526624,302,1,me_rhovanion,me_rohan_region,f56e4b,no
163,me_land_0122,Land 0122,land,3391,1600,0.8280830,0.7816317,460,1,me_mordor_and_rhun,me_mordor_region,93a5c4,no
164,me_land_0123,Land 0123,land,2249,836,0.5492063,0.4084025,217,3,me_rhovanion,me_mirkwood_region,31dd3d,no
165,me_land_0124,Land 0124,land,2509,527,0.6126984,0.2574499,426,3,me_rhovanion,me_grey_mountains_region,d014b6,no
166,me_land_0125,Land 0125,land,2555,1584,0.6239316,0.7738153,310,1,me_gondor,me_south_gondor_region,6e4c2f,no
167,me_land_0126,Land 0126,land,3618,984,0.8835165,0.4807035,498,9,me_mordor_and_rhun,me_rhun_region,0c83a8,no
168,me_land_0127,Land 0127,land,2138,649,0.5221001,0.3170493,233,1,me_rhovanion,me_anduin_vale_region,aabb21,no
169,me_land_0128,Land 0128,land,3205,1351,0.7826618,0.6599902,291,8,me_mordor_and_rhun,me_mordor_region,48f29a,no
170,me_land_0129,Land 0129,land,2538,764,0.6197802,0.3732291,309,3,me_rhovanion,me_dale_region,e72a13,no
171,me_land_0130,Land 0130,land,3690,1124,0.9010989,0.5490962,545,1,me_mordor_and_rhun,me_rhun_region,85618c,no
172,me_land_0131,Land 0131,land,956,215,0.2334554,0.1050318,415,5,me_forodwaith,me_forochel_region,239905,no
173,me_land_0132,Land 0132,land,1659,234,0.4051282,0.1143136,504,5,me_forodwaith,me_angmar_region,c1d07e,no
174,me_land_0133,Land 0133,land,3062,1022,0.7477411,0.4992672,424,9,me_mordor_and_rhun,me_rhun_region,6007f7,no
175,me_land_0134,Land 0134,land,2374,115,0.5797314,0.0561798,338,1,me_forodwaith,me_northern_wastes_region,fe3f70,no
176,me_land_0135,Land 0135,land,1899,1741,0.4637363,0.8505129,389,10,me_harad,me_umbar_region,9c76e9,no
177,me_land_0136,Land 0136,land,1524,614,0.3721612,0.2999511,289,1,me_eriador,me_north_arnor_region,3aae62,no
178,me_land_0137,Land 0137,land,954,837,0.2329670,0.4088911,333,1,me_eriador,me_lindon_region,d8e5db,no
179,me_land_0138,Land 0138,land,2370,1099,0.5787546,0.5368832,309,9,me_rhovanion,me_mirkwood_region,771d54,no
180,me_land_0139,Land 0139,land,2636,1131,0.6437118,0.5525159,451,9,me_rhovanion,me_mirkwood_region,1554cd,no
181,me_land_0140,Land 0140,land,1861,1290,0.4544567,0.6301905,261,1,me_eriador,me_enedwaith_region,b38c46,no
182,me_land_0141,Land 0141,land,1252,1203,0.3057387,0.5876893,454,1,me_eriador,me_enedwaith_region,51c3bf,no
183,me_land_0142,Land 0142,land,3233,696,0.7894994,0.3400098,376,9,me_mordor_and_rhun,me_rhun_region,effb38,no
184,me_land_0143,Land 0143,land,1637,488,0.3997558,0.2383977,374,1,me_eriador,me_north_arnor_region,8e32b1,no
185,me_land_0144,Land 0144,land,2156,1374,0.5264957,0.6712262,311,1,me_rhovanion,me_rohan_region,2c6a2a,no
186,me_land_0145,Land 0145,land,1476,718,0.3604396,0.3507572,363,1,me_eriador,me_shire_breeland_region,caa1a3,no
187,me_land_0146,Land 0146,land,1873,1623,0.4573871,0.7928676,243,1,me_gondor,me_belfalas_region,68d91c,no
188,me_land_0147,Land 0147,land,2740,1100,0.6691087,0.5373718,329,1,me_mordor_and_rhun,me_rhun_region,071095,no
189,me_land_0148,Land 0148,land,3444,1507,0.8410256,0.7361993,352,1,me_mordor_and_rhun,me_mordor_region,a5480e,no
190,me_land_0149,Land 0149,land,2211,1208,0.5399267,0.5901319,274,1,me_rhovanion,me_rohan_region,437f87,no
191,me_land_0150,Land 0150,land,1355,1233,0.3308913,0.6023449,306,1,me_eriador,me_enedwaith_region,e1b700,no
192,me_land_0151,Land 0151,land,2386,1589,0.5826618,0.7762579,322,1,me_gondor,me_lebennin_region,7fee79,no
193,me_land_0152,Land 0152,land,1417,956,0.3460317,0.4670249,326,1,me_eriador,me_shire_breeland_region,1e25f2,no
194,me_land_0153,Land 0153,land,1175,266,0.2869353,0.1299463,766,5,me_forodwaith,me_forochel_region,bc5d6b,no
195,me_land_0154,Land 0154,land,3587,1130,0.8759463,0.5520274,428,9,me_mordor_and_rhun,me_rhun_region,5a94e4,no
196,me_land_0155,Land 0155,land,2342,1403,0.5719170,0.6853933,263,1,me_rhovanion,me_rohan_region,f8cc5d,no
197,me_land_0156,Land 0156,land,3163,387,0.7724054,0.1890572,308,1,me_forodwaith,me_northern_wastes_region,9703d6,no
198,me_land_0157,Land 0157,land,1152,715,0.2813187,0.3492916,202,1,me_eriador,me_lindon_region,353b4f,no
199,me_land_0158,Land 0158,land,1261,850,0.3079365,0.4152418,298,1,me_eriador,me_shire_breeland_region,d372c8,no
200,me_land_0159,Land 0159,land,856,117,0.2090354,0.0571568,499,5,me_forodwaith,me_forochel_region,71aa41,no
201,me_land_0160,Land 0160,land,1546,563,0.3775336,0.2750366,384,1,me_eriador,me_north_arnor_region,0fe1ba,no
202,me_land_0161,Land 0161,land,3164,703,0.7726496,0.3434294,354,9,me_mordor_and_rhun,me_rhun_region,ae1933,no
203,me_land_0162,Land 0162,land,2403,209,0.5868132,0.1021006,381,5,me_forodwaith,me_northern_wastes_region,4c50ac,no
204,me_land_0163,Land 0163,land,2816,1031,0.6876679,0.5036639,321,1,me_mordor_and_rhun,me_rhun_region,ea8825,no
205,me_land_0164,Land 0164,land,2679,980,0.6542125,0.4787494,679,1,me_rhovanion,me_mirkwood_region,88bf9e,no
206,me_land_0165,Land 0165,land,2269,965,0.5540904,0.4714216,356,3,me_rhovanion,me_mirkwood_region,26f717,no
207,me_land_0166,Land 0166,land,1340,1284,0.3272283,0.6272594,298,1,me_eriador,me_enedwaith_region,c52e90,no
208,me_land_0167,Land 0167,land,1408,816,0.3438339,0.3986321,224,3,me_eriador,me_shire_breeland_region,636609,no
209,me_land_0168,Land 0168,land,2120,974,0.5177045,0.4758183,241,1,me_rhovanion,me_anduin_vale_region,019d82,no
210,me_land_0169,Land 0169,land,1812,1605,0.4424908,0.7840743,343,1,me_gondor,me_belfalas_region,9fd4fb,no
211,me_land_0170,Land 0170,land,2785,438,0.6800977,0.2139717,322,1,me_forodwaith,me_northern_wastes_region,3e0c74,no
212,me_land_0171,Land 0171,land,1669,1290,0.4075702,0.6301905,309,1,me_eriador,me_enedwaith_region,dc43ed,no
213,me_land_0172,Land 0172,land,2825,1504,0.6898657,0.7347338,357,8,me_mordor_and_rhun,me_mordor_region,7a7b66,no
214,me_land_0173,Land 0173,land,2134,138,0.5211233,0.0674157,555,5,me_forodwaith,me_angmar_region,18b2df,no
215,me_land_0174,Land 0174,land,1622,877,0.3960928,0.4284319,231,1,me_eriador,me_shire_breeland_region,b6ea58,no
216,me_land_0175,Land 0175,land,2206,1606,0.5387057,0.7845628,320,1,me_gondor,me_lebennin_region,5521d1,no
217,me_land_0176,Land 0176,land,878,778,0.2144078,0.3800684,280,1,me_eriador,me_lindon_region,f3594a,no
218,me_land_0177,Land 0177,land,1411,1117,0.3445665,0.5456766,295,2,me_eriador,me_enedwaith_region,9190c3,no
219,me_land_0178,Land 0178,land,2288,896,0.5587302,0.4377137,260,3,me_rhovanion,me_mirkwood_region,2fc83c,no
220,me_land_0179,Land 0179,land,1411,1142,0.3445665,0.5578896,285,2,me_eriador,me_enedwaith_region,cdffb5,no
221,me_land_0180,Land 0180,land,3390,1013,0.8278388,0.4948705,459,9,me_mordor_and_rhun,me_rhun_region,6c372e,no
