location,name,region,realm,rank,population_k,culture,faith,minorities,raw_material,engine_rank,abi_cultures
me_land_0047,Arzak,me_khand_region,KHA,place,2.173,me_variag,me_melkorism,,horses,rural_settlement,south_cushitic_culture
me_land_0048,Bucklandbank,me_enedwaith_region,WILD,wilderness,0.013,me_dunlending,me_dunland_ways,,clay,rural_settlement,
me_land_0049,Cedarbank,me_enedwaith_region,WILD,wilderness,0.011,me_dunlending,me_dunland_ways,,wheat,rural_settlement,
me_land_0050,Karmach,me_rhun_region,WILD,wilderness,0.009,me_balchoth,me_melkorism,,wool,rural_settlement,
me_land_0051,Palebay,me_northern_wastes_region,WILD,wilderness,0.006,me_lossoth,me_lossoth_ways,,fur,rural_settlement,
me_land_0052,Khurach,me_rhun_region,RH2,place,3.379,me_karmachi,me_melkorism,,wheat,rural_settlement,makurap_culture
me_land_0053,Farabad,me_near_harad_region,UMB,place,1.693,me_umbarite,me_sauron_cult,,wool,rural_settlement,westphalian
me_land_0054,Eithel aelath,me_south_gondor_region,GON,place,0.79,me_gondorian,me_valar_worship,,iron,rural_settlement,
me_land_0055,Emyn aelath,me_belfalas_region,GON,place,5.186,me_gondorian,me_valar_worship,,wheat,rural_settlement,damara_culture
me_land_0056,Balkak,me_khand_region,WILD,wilderness,0.006,me_variag,me_melkorism,,copper,rural_settlement,
me_land_0057,Hadrabad,me_far_harad_region,WILD,wilderness,0.006,me_far_haradrim,me_southron_ways,,salt,rural_settlement,
me_land_0058,Bregoberg,me_rohan_region,ROH,place,2.517,me_rohirric,me_northern_ways,,horses,rural_settlement,patwin_culture
me_land_0059,Deepbank,me_enedwaith_region,WILD,wilderness,0.011,me_dunlending,me_dunland_ways,,wheat,rural_settlement,
me_land_0060,Kharabad,me_near_harad_region,HNE,place,1.989,me_near_haradrim,me_southron_ways,,horses,rural_settlement,tinputz_culture
me_land_0061,Bardbank,me_rhun_region,DOR,place,1.558,me_dorwinrim,me_northern_ways,,wool,rural_settlement,yemeni_culture
me_land_0062,Eastbank,me_anduin_vale_region,WILD,wilderness,0.013,me_woodman,me_northern_ways,,clay,rural_settlement,
me_land_0063,Gorbag,me_mordor_region,MOR,place,1.416,me_mordor_orc,me_sauron_cult,,stone,rural_settlement,
me_land_0064,Grishbag,me_mordor_region,WILD,wilderness,0.009,me_mordor_orc,me_sauron_cult,,livestock,rural_settlement,
me_land_0065,Ceorlberg,me_rohan_region,ROH,place,1.354,me_rohirric,me_northern_ways,,horses,rural_settlement,
me_land_0066,Krimpbag,me_enedwaith_region,ISE,place,0.33,me_isengard_uruk,me_sauron_cult,,clay,rural_settlement,
me_land_0067,Imlad aelath,me_lebennin_region,GON,place,5.186,me_gondorian,me_valar_worship,,livestock,rural_settlement,dalmatian
me_land_0068,Lugbag,me_mordor_region,WILD,wilderness,0.009,me_mordor_orc,me_sauron_cult,,stone,rural_settlement,
me_land_0069,Pinnath Gelin,me_belfalas_region,GON,landmark,5.186,me_gondorian,me_valar_worship,,livestock,rural_settlement,dakelh_culture
me_land_0070,Sealbay,me_northern_wastes_region,WILD,wilderness,0.011,me_lossoth,me_lossoth_ways,,wheat,rural_settlement,
me_land_0071,Greenbank,me_enedwaith_region,WILD,wilderness,0.011,me_dunlending,me_dunland_ways,,wool,rural_settlement,
me_land_0072,Mauhbag,me_mirkwood_region,DOL,place,1.838,me_mordor_orc,me_sauron_cult,,wild_game,rural_settlement,tonga_oceania_culture
me_land_0073,Minas aelath,me_belfalas_region,GON,place,5.186,me_gondorian,me_valar_worship,,wool,rural_settlement,daju_culture
me_land_0074,Lodach,me_rhun_region,RH3,place,5.555,me_sagath,me_melkorism,,wheat,rural_settlement,bashilele
me_land_0075,Bellbank,me_dale_region,ESG,place,1.611,me_dalish,me_northern_ways,,wheat,rural_settlement,wuthathi_culture
me_land_0076,Mahrabad,me_umbar_region,UMB,place,0.662,me_umbarite,me_sauron_cult,,livestock,rural_settlement,
me_land_0077,Déorberg,me_rohan_region,ROH,place,2.517,me_rohirric,me_northern_ways,,clay,rural_settlement,patpatar_culture
me_land_0078,Muzgbag,me_mordor_region,WILD,wilderness,0.009,me_mordor_orc,me_sauron_cult,,iron,rural_settlement,
me_land_0079,Snowbay,me_northern_wastes_region,WILD,wilderness,0.011,me_lossoth,me_lossoth_ways,,wild_game,rural_settlement,
me_land_0080,Nazgbag,me_brown_lands_region,DOL,place,2.543,me_mordor_orc,me_sauron_cult,,horses,rural_settlement,ngunawal_culture
me_land_0081,Starbay,me_northern_wastes_region,WILD,wilderness,0.011,me_lossoth,me_lossoth_ways,,wheat,rural_settlement,
me_land_0082,Udûn,me_brown_lands_region,WILD,landmark,0.049,me_woodman,me_northern_ways,,wool,rural_settlement,
me_land_0083,Whitebay,me_northern_wastes_region,WILD,wilderness,0.006,me_lossoth,me_lossoth_ways,,fish,rural_settlement,
me_land_0084,Brownbank,me_shire_breeland_region,WILD,wilderness,0.013,me_eriadoran,me_northern_ways,,wool,rural_settlement,
me_land_0085,Ost aelath,me_anorien_region,GON,place,5.186,me_gondorian,me_valar_worship,,wool,rural_settlement,dainggatti_culture
me_land_0086,Narabad,me_umbar_region,UMB,place,1.693,me_umbarite,me_sauron_cult,,wheat,rural_settlement,western_pomeranian
me_land_0087,Taur aelath,me_belfalas_region,DAM,place,2.341,me_dol_amrothian,me_valar_worship,,wool,rural_settlement,rabha_culture
me_land_0088,Bizarabad,me_rhun_region,IRO,place,0.449,me_longbeard,me_mahal_cult,,wheat,rural_settlement,
me_land_0089,Bar aelath,me_brown_lands_region,WILD,wilderness,0.011,me_woodman,me_northern_ways,,horses,rural_settlement,
me_land_0090,Narach,me_rhun_region,RH2,place,3.379,me_karmachi,me_melkorism,,livestock,rural_settlement,makhuwa_culture
me_land_0091,Calen aelath,me_south_gondor_region,GON,place,2.686,me_gondorian,me_valar_worship,,horses,rural_settlement,nansemond_culture
me_land_0092,Skaibag,me_mordor_region,MOR,place,6.356,me_mordor_orc,me_sauron_cult,,wheat,rural_settlement,atakapa_culture
me_land_0093,Rhovach,me_rhun_region,RH3,place,5.555,me_sagath,me_melkorism,,fish,rural_settlement,barunggam_culture
me_land_0094,Greybank,me_enedwaith_region,WILD,wilderness,0.011,me_dunlending,me_dunland_ways,,livestock,rural_settlement,
me_land_0095,Winterbay,me_forochel_region,LOS,place,0.03,me_lossoth,me_lossoth_ways,,wild_game,rural_settlement,
me_land_0096,Qasabad,me_far_harad_region,WILD,wilderness,0.006,me_far_haradrim,me_southron_ways,,salt,rural_settlement,
me_land_0097,Uglbag,me_angmar_region,WILD,wilderness,0.006,me_northern_orc,me_melkorism,,fur,rural_settlement,
me_land_0098,Longbank,me_enedwaith_region,WILD,wilderness,0.013,me_dunlending,me_dunland_ways,,wheat,rural_settlement,
me_land_0099,Celon aelath,me_brown_lands_region,WILD,wilderness,0.009,me_woodman,me_northern_ways,,livestock,rural_settlement,
me_land_0100,Rakhabad,me_near_harad_region,HNE,place,1.989,me_near_haradrim,me_southron_ways,,wheat,rural_settlement,tinde_culture
me_land_0101,Nim aelath,me_north_arnor_region,WILD,wilderness,0.013,me_eriadoran,me_northern_ways,,livestock,rural_settlement,
me_land_0102,Urukbag,me_mordor_region,MOR,place,1.416,me_mordor_orc,me_sauron_cult,,wheat,rural_settlement,
me_land_0103,Ashburz,me_mordor_region,WILD,wilderness,0.01,me_mordor_orc,me_sauron_cult,,stone,rural_settlement,
me_land_0104,Coldcamp,me_northern_wastes_region,WILD,wilderness,0.007,me_lossoth,me_lossoth_ways,,wild_game,rural_settlement,
me_land_0105,Amon annonath,me_south_gondor_region,GON,place,3.537,me_gondorian,me_valar_worship,,wool,rural_settlement,korku_culture
me_land_0106,Eorlberg,me_rohan_region,ROH,place,2.517,me_rohirric,me_northern_ways,,wheat,rural_settlement,pasto_culture
me_land_0107,Sagach,me_rhun_region,RHU,place,4.159,me_balchoth,me_sauron_cult,,clay,rural_settlement,hadhrami_culture
me_land_0108,Azgburz,me_mirkwood_region,DOL,place,3.39,me_mordor_orc,me_sauron_cult,,clay,rural_settlement,kpelle
me_land_0109,Northbank,me_enedwaith_region,WILD,wilderness,0.013,me_dunlending,me_dunland_ways,,clay,rural_settlement,
me_land_0110,Oakbank,me_mirkwood_region,WILD,wilderness,0.011,me_woodman,me_northern_ways,,clay,rural_settlement,
me_land_0111,Dol annonath,me_ithilien_region,WILD,wilderness,0.014,me_gondorian,me_valar_worship,,wool,rural_settlement,
me_land_0112,Eithel annonath,me_brown_lands_region,WILD,wilderness,0.011,me_woodman,me_northern_ways,,horses,rural_settlement,
me_land_0113,Emyn annonath,me_brown_lands_region,WILD,wilderness,0.01,me_woodman,me_northern_ways,,horses,rural_settlement,
me_land_0114,Imlad annonath,me_ithilien_region,WILD,wilderness,0.014,me_gondorian,me_valar_worship,,wool,rural_settlement,
me_land_0115,Southbank,me_enedwaith_region,WILD,wilderness,0.013,me_dunlending,me_dunland_ways,,livestock,rural_settlement,
me_land_0116,Stonebank,me_enedwaith_region,WILD,wilderness,0.013,me_dunlending,me_dunland_ways,,wheat,rural_settlement,
me_land_0117,Driftcamp,me_forochel_region,LOS,place,0.211,me_lossoth,me_lossoth_ways,,fish,rural_settlement,
me_land_0118,Sahrabad,me_umbar_region,UMB,place,2.256,me_umbarite,me_sauron_cult,,wool,rural_settlement,roviana_culture
me_land_0119,Folcberg,me_rohan_region,ROH,place,2.517,me_rohirric,me_northern_ways,,horses,rural_settlement,passamaquoddy_culture
me_land_0120,Minas annonath,me_belfalas_region,GON,place,3.58,me_gondorian,me_valar_worship,,fish,rural_settlement,khampa_culture
me_land_0121,Blackburz,me_mirkwood_region,DOL,place,1.838,me_mordor_orc,me_sauron_cult,,wild_game,rural_settlement,tonga
me_land_0122,Westbank,me_mirkwood_region,WDM,place,1.259,me_woodman,me_northern_ways,,wool,rural_settlement,
me_land_0123,Tazabad,me_umbar_region,UMB,place,1.693,me_umbarite,me_sauron_cult,,livestock,rural_settlement,western_kru
me_land_0124,Burzburz,me_grey_mountains_region,GUN,place,5.322,me_northern_orc,me_melkorism,,wool,rural_settlement,bedouin_culture
me_land_0125,Sharach,me_rhun_region,WILD,wilderness,0.01,me_balchoth,me_melkorism,,horses,rural_settlement,
me_land_0126,Bundabad,me_grey_mountains_region,ERE,place,1.488,me_longbeard,me_mahal_cult,,clay,rural_settlement,zuni_culture
me_land_0127,Frostcamp,me_northern_wastes_region,WILD,wilderness,0.011,me_lossoth,me_lossoth_ways,,livestock,rural_settlement,
me_land_0128,Dushburz,me_anduin_vale_region,GOB,place,1.372,me_misty_orc,me_melkorism,,wheat,rural_settlement,
me_land_0129,Alderbourne,me_enedwaith_region,WILD,wilderness,0.013,me_dunlending,me_dunland_ways,,livestock,rural_settlement,
me_land_0130,Framberg,me_rohan_region,ROH,place,2.517,me_rohirric,me_northern_ways,,livestock,rural_settlement,pashayi_culture
me_land_0131,Icecamp,me_northern_wastes_region,WILD,wilderness,0.011,me_lossoth,me_lossoth_ways,,clay,rural_settlement,
me_land_0132,Ost annonath,me_south_gondor_region,GON,place,0.79,me_gondorian,me_valar_worship,,iron,rural_settlement,
me_land_0133,Drazak,me_khand_region,WILD,wilderness,0.006,me_variag,me_melkorism,,livestock,rural_settlement,
me_land_0134,Taur annonath,me_brown_lands_region,WILD,wilderness,0.01,me_woodman,me_northern_ways,,wheat,rural_settlement,
me_land_0135,Bar annonath,me_lebennin_region,GON,place,5.186,me_gondorian,me_valar_worship,,wheat,rural_settlement,dai_culture
me_land_0136,Uldach,me_rhun_region,WILD,wilderness,0.01,me_balchoth,me_melkorism,,wheat,rural_settlement,
me_land_0137,Butterbank,me_shire_breeland_region,WILD,wilderness,0.013,me_eriadoran,me_northern_ways,,wool,rural_settlement,
me_land_0138,Ashbourne,me_enedwaith_region,WILD,wilderness,0.011,me_dunlending,me_dunland_ways,,wool,rural_settlement,
me_land_0139,Ghashburz,me_mordor_region,WILD,wilderness,0.01,me_mordor_orc,me_sauron_cult,,iron,rural_settlement,
me_land_0140,Calen annonath,me_belfalas_region,DAM,place,2.341,me_dol_amrothian,me_valar_worship,,livestock,rural_settlement,quzhou_culture
me_land_0141,Celon annonath,me_belfalas_region,GON,place,5.186,me_gondorian,me_valar_worship,,clay,rural_settlement,dahalo_culture
me_land_0142,Nim annonath,me_lebennin_region,GON,place,5.186,me_gondorian,me_valar_worship,,clay,rural_settlement,dagbani
me_land_0143,Barrowbourne,me_enedwaith_region,WILD,wilderness,0.013,me_dunlending,me_dunland_ways,,wool,rural_settlement,
me_land_0144,Wainach,me_rhun_region,WILD,wilderness,0.011,me_balchoth,me_melkorism,,wool,rural_settlement,
me_land_0145,Umrabad,me_umbar_region,UMB,place,1.313,me_umbarite,me_sauron_cult,,fish,rural_settlement,
me_land_0146,Amon belath,me_brown_lands_region,WILD,wilderness,0.01,me_woodman,me_northern_ways,,livestock,rural_settlement,
me_land_0147,Zarabad,me_near_harad_region,HNE,place,1.989,me_near_haradrim,me_southron_ways,,horses,rural_settlement,timucua_culture
me_land_0148,Dol belath,me_belfalas_region,GON,place,3.58,me_gondorian,me_valar_worship,,wool,rural_settlement,khamag_culture
me_land_0149,Gorburz,me_mordor_region,WILD,wilderness,0.01,me_mordor_orc,me_sauron_cult,,stone,rural_settlement,
me_land_0150,Beaconbourne,me_mirkwood_region,WILD,wilderness,0.011,me_woodman,me_northern_ways,,clay,rural_settlement,
me_land_0151,Beebank,me_mirkwood_region,BEO,place,0.163,me_beorning,me_northern_ways,,wild_game,rural_settlement,
me_land_0152,Northcamp,me_northern_wastes_region,WILD,wilderness,0.006,me_lossoth,me_lossoth_ways,,fur,rural_settlement,
me_land_0153,Grishburz,me_mordor_region,WILD,wilderness,0.01,me_mordor_orc,me_sauron_cult,,wheat,rural_settlement,
me_land_0154,Eithel belath,me_ithilien_region,WILD,wilderness,0.006,me_gondorian,me_valar_worship,,iron,rural_settlement,
me_land_0155,Emyn belath,me_north_arnor_region,WILD,wilderness,0.011,me_eriadoran,me_northern_ways,,fish,rural_settlement,
me_land_0156,Blackbourne,me_mirkwood_region,WILD,wilderness,0.01,me_woodman,me_northern_ways,,wool,rural_settlement,
me_land_0157,Palecamp,me_northern_wastes_region,WILD,wilderness,0.006,me_lossoth,me_lossoth_ways,,fur,rural_settlement,
me_land_0158,Gharak,me_khand_region,KHA,place,2.173,me_variag,me_melkorism,,wheat,rural_settlement,sougb_culture
me_land_0159,Bowbank,me_dale_region,DAL,place,2.057,me_dalish,me_northern_ways,,wool,rural_settlement,tagalog_culture
me_land_0160,Zorach,me_rhun_region,RHU,place,3.121,me_balchoth,me_sauron_cult,,wool,rural_settlement,mehri_culture
me_land_0161,Krimpburz,me_north_arnor_region,ANG,place,1.492,me_northern_orc,me_melkorism,,clay,rural_settlement,yuracare_culture
me_land_0162,Sealcamp,me_northern_wastes_region,WILD,wilderness,0.006,me_lossoth,me_lossoth_ways,,fur,rural_settlement,
me_land_0163,Snowcamp,me_northern_wastes_region,WILD,wilderness,0.011,me_lossoth,me_lossoth_ways,,clay,rural_settlement,
me_land_0164,Bramblebourne,me_enedwaith_region,DUN,place,4.105,me_dunlending,me_dunland_ways,,wheat,rural_settlement,heiltsuk_culture
me_land_0165,Balad,me_rhun_region,WILD,wilderness,0.01,me_balchoth,me_melkorism,,horses,rural_settlement,
me_land_0166,Bucklandbourne,me_enedwaith_region,WILD,wilderness,0.013,me_dunlending,me_dunland_ways,,livestock,rural_settlement,
me_land_0167,Azrahir,me_near_harad_region,HNE,place,1.989,me_near_haradrim,me_southron_ways,,horses,rural_settlement,timiscaming_culture
me_land_0168,Imlad belath,me_north_arnor_region,WILD,wilderness,0.011,me_eriadoran,me_northern_ways,,livestock,rural_settlement,
me_land_0169,Cedarbourne,me_anduin_vale_region,WILD,wilderness,0.013,me_woodman,me_northern_ways,,wheat,rural_settlement,
me_land_0170,Deepbourne,me_anduin_vale_region,WILD,wilderness,0.013,me_woodman,me_northern_ways,,wheat,rural_settlement,
me_land_0171,Starcamp,me_northern_wastes_region,WILD,wilderness,0.006,me_lossoth,me_lossoth_ways,,fish,rural_settlement,
me_land_0172,Eastbourne,me_enedwaith_region,WILD,wilderness,0.013,me_dunlending,me_dunland_ways,,livestock,rural_settlement,
me_land_0173,Bahrahir,me_far_harad_region,HRA,place,3.612,me_near_haradrim,me_southron_ways,,wool,rural_settlement,iyiyiyu_culture
me_land_0174,Minas belath,me_brown_lands_region,WILD,wilderness,0.01,me_woodman,me_northern_ways,,wheat,rural_settlement,
me_land_0175,Darahir,me_near_harad_region,HNE,place,1.989,me_near_haradrim,me_southron_ways,,wool,rural_settlement,timbisha_culture
