tag,name,adjective,capital_ref,x,y,regions,style,color,emblem,max_locations,source
RHO,Rhosgobel,Rhosgobel,rhosgobel,0.565,0.405,me_anduin_vale_region|me_mirkwood_region,westron,96 126 70,ce_andean_small_bird.dds,1,"LOTR map; † one-location polity per ENDORE plan 8.1"
MOR,Mordor,Mordor,barad_dur,0.755,0.685,me_mordor_region|me_ithilien_region,orkish,72 22 22,ce_blackfoot_eye.dds,0,"LOTR, Book II, Ch. 2; ENDORE plan 8.1"
DOL,Dol Guldur,Dol Guldur,dol_guldur,0.605,0.505,me_mirkwood_region|me_brown_lands_region,orkish,64 40 54,ce_tower_wall.dds,65,"LOTR, Appendix B; ENDORE plan 8.1"
ISE,Isengard,Isengarder,isengard,0.475,0.635,me_rohan_region|me_enedwaith_region,orkish,132 132 124,ce_hand_simple.dds,38,"LOTR, Book II, Ch. 2; ENDORE plan 8.1"
MOA,Moria,Moria-orc,moria,0.475,0.515,me_anduin_vale_region|me_enedwaith_region,orkish,58 48 46,ce_mountain.dds,26,"LOTR, Book II, Ch. 4; ENDORE plan 8.1"
GUN,Gundabad,Gundabad-orc,gundabad,0.490,0.225,me_grey_mountains_region|me_northern_wastes_region|me_angmar_region,orkish,78 48 34,ce_mountain.dds,75,"LOTR, Appendix A; ENDORE plan 8.1"
GOB,Goblin-town,Goblin-town,goblin_town,0.475,0.345,me_north_arnor_region|me_anduin_vale_region|me_grey_mountains_region,orkish,82 58 36,ce_mountain.dds,32,"The Hobbit, Ch. 4; ENDORE plan 8.1"
UMB,Umbar,Umbarite,umbar,0.440,0.900,me_umbar_region|me_near_harad_region,haradric,88 42 54,ce_boat_shield.dds,0,"LOTR, Appendix A; ENDORE plan 8.1"
HNE,Harnendor,Harnendorean,harnenhold,0.585,0.865,me_near_harad_region|me_umbar_region|me_far_harad_region,haradric,156 86 42,ce_sun_radiant_simple.dds,0,"† ENDORE plan 8.1; border and seat extrapolated from Harnen on the LOTR map"
HRA,Qarsad of Harad,Qarsadi,qarsad,0.675,0.900,me_near_harad_region|me_far_harad_region,haradric,146 96 48,ce_sun_radiant_small.dds,90,"† Haradrim city-king added under the ENDORE plan 8.1 micro-tag allowance"
HFA,Far Harad,Far Haradrim,mumak_gate,0.570,0.965,me_far_harad_region,haradric,132 72 38,ce_elephant_african.dds,0,"† ENDORE plan 8.1; on-map fringe polity invented from the Far Harad host"
KHA,Khand,Variag,khazan,0.750,0.875,me_khand_region|me_near_harad_region|me_far_harad_region,khandish,120 62 46,ce_axes_saltire.dds,0,"LOTR, Appendix A; † seat and exact frontier invented"
RHU,Kingdom of Rhûn,Rhûnic,burh_gath,0.860,0.410,me_rhun_region|me_northern_wastes_region,rhunic,132 58 38,ce_horse_head.dds,0,"† ENDORE plan 8.1; Balchoth-descended polity invented from canon seeds"
RH2,Wain-kingdom of Karmach,Karmachi,wainhold,0.875,0.500,me_rhun_region,rhunic,154 88 36,ce_wheel_02.dds,0,"† ENDORE plan 8.1; wain-kingdom invented from Appendix A"
RH3,Sagath of the Eastern March,Sagath,eastern_march,0.910,0.350,me_rhun_region|me_northern_wastes_region,rhunic,104 48 34,ce_bow_arrow_pale.dds,0,"† ENDORE plan 8.1; third Rhûnic confederation invented for eastern texture"
DUN,Dunland,Dunlending,dunland_moot,0.425,0.630,me_enedwaith_region|me_rohan_region,westron,104 76 52,ce_boar_head.dds,0,"LOTR, Appendix A; † seat invented because canon gives no capital"
ANG,Mount Gram,Angmar-orc,mount_gram,0.405,0.315,me_angmar_region|me_north_arnor_region,orkish,66 48 58,ce_wolf_head.dds,55,"LOTR, Book I, Ch. 1 and Appendix A; † remnant polity per ENDORE plan 8.1"
